subject,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
0.0,75.09710832973673,798.9655172413793,37.65037230994255,18.155085867523262,32.95234654553668,0.6071428571428571,0.14285714285714285,30.0,23.29945913360152,48.46803596396375,3547.734683227091,0.4807180375727375,0.2589555459646094
0.0,73.28563950444949,818.7142857142857,31.992027067980036,11.80499998692749,28.35228124599239,0.5925925925925926,0.0,19.0,20.030566491348534,41.247288641822045,2595.6044521055614,0.48562141054379154,0.13086721340080265
0.0,74.66666666666667,803.5714285714286,21.443328252177,12.464269922115696,24.899799195977465,0.4444444444444444,0.037037037037037035,15.0,17.60299887158369,24.513818504428038,1355.6497557933162,0.7180847352852834,0.26666666666666666
0.0,78.10466024472792,768.2,38.92334346721343,15.936258286710128,26.33471551734156,0.4482758620689655,0.06896551724137931,27.0,18.621200503848254,51.923661151694205,3037.545948671231,0.35862649302495625,0.2169573895686887
0.0,72.3451899061235,829.3571428571429,36.578891537640246,17.345990946626223,32.87462153000002,0.6666666666666666,0.037037037037037035,26.0,23.245336715400477,46.951745359658844,3428.7629056888195,0.49508993834706255,0.08612522607871845
0.0,72.59528130671507,826.5,23.758457140864294,15.17126733459413,25.577768124334504,0.37037037037037035,0.0,20.0,18.07528836236689,28.401974467193583,1612.8116054136187,0.6364095701601735,0.12963443090484833
0.0,73.90462783740982,811.8571428571429,21.797303708935925,11.096780882461397,23.32698326291139,0.48148148148148145,0.0,14.0,16.49458488686057,26.375675704357864,1366.7681738374831,0.625371083256657,0.35192679922576103
0.0,73.69758576874206,814.1379310344828,28.356990426775,14.358919577341863,26.69135761681244,0.42857142857142855,0.03571428571428571,18.0,18.862215226884302,35.933434774508775,2129.32180236037,0.5249210198036839,0.2964845404489623
0.0,70.90336134453781,846.2222222222222,26.344348376037402,16.407531825101422,29.19957850064594,0.5,0.038461538461538464,12.0,20.554157068122862,30.166794708065662,1947.9540648429104,0.6813503810077416,0.26260504201680673
0.0,68.78980891719746,872.2222222222222,22.52460931273522,15.029950375301432,27.60434748368452,0.5384615384615384,0.038461538461538464,12.0,19.510048996204993,25.741144280620848,1577.742344588444,0.7579324673182102,0.33970276008492567
0.0,73.78777231201687,813.1428571428571,70.97570725542765,27.15984286537533,44.683247337146305,0.6296296296296297,0.18518518518518517,55.0,31.491414554956936,94.09078300139807,9308.701934525116,0.3346918109342231,0.13176387912860155
